Facies,Well Name,Depth,GR,ILD,ILD_log10,NPHI,RHOB,PORD,PORDIFF,BVW
1,AMMY220,994,19.6444,159,2.20139712432045,0.2139,2.4049,0.1895031,0.0243969,0.012539246564388
1,AMMY220,994.5,20.0798,226.625,2.35530781710356,0.2342,2.4109,0.1857763,0.0484237,0.010503066029912
1,AMMY220,995,19.1566,190.375,2.2796099163441,0.2693,2.3672,0.2129193,0.0563807,0.011459483567091
1,AMMY220,995.5,18.8579,150,2.17609125905568,0.2796,2.3548,0.2206211,0.0589789,0.012909944487358
1,AMMY220,996,17.383,158.5,2.20002926655377,0.2816,2.3373,0.2314906,0.0501094,0.012559008982583
1,AMMY220,996.5,16.1524,131.125,2.11768550120161,0.2782,2.3356,0.2325466,0.0456534,0.013807887937846
1,AMMY220,997,17.4145,145,2.16136800223497,0.2683,2.3334,0.233913,0.034387,0.013130643285972
1,AMMY220,997.5,17.3926,139.875,2.14574009953641,0.2609,2.3375,0.2313664,0.0295336,0.013369031746174
1,AMMY220,998,15.3797,158.25,2.19934371868939,0.253,2.3589,0.2180745,0.0349255,0.012568925295998
1,AMMY220,998.5,12.4989,158.625,2.20037163510276,0.2579,2.3534,0.2214907,0.0364093,0.012554059619245
1,AMMY220,999,11.622,130.25,2.11477773197156,0.253,2.379,0.2055901,0.0474099,0.013854189967462
1,AMMY220,999.5,11.8161,173.375,2.23898647408134,0.2451,2.3828,0.2032298,0.0418703,0.012008168332644
1,AMMY220,1000,10.9623,128.5,2.10890312766731,0.2253,2.4377,0.1691304,0.0561696,0.013948208816292
1,AMMY220,1000.5,10.0697,120.062,2.07940557358365,0.212,2.4548,0.1585094,0.0534906,0.01443002945351
1,AMMY220,1001,11.8156,113.562,2.05523303250929,0.2026,2.482,0.1416148,0.0609852,0.014837252517712
2,AMMY220,1001.5,13.0508,98.375,1.99288474536712,0.2051,2.4561,0.1577019,0.0473981,0.015941443036912
1,AMMY220,1002,14.1083,104,2.01703333929878,0.2125,2.4345,0.171118,0.041382,0.015504341823651
1,AMMY220,1002.5,14.749,87.125,1.94014279110607,0.2243,2.3955,0.1953416,0.0289584,0.016939422832879
1,AMMY220,1003,16.4674,97.5,1.98900461569854,0.2401,2.3566,0.2195031,0.0205969,0.016012815380509
1,AMMY220,1003.5,16.8921,97.375,1.98844747068062,0.2545,2.3292,0.2365217,0.0179783,0.016023089886141
1,AMMY220,1004,16.0113,97.25,1.98788960999775,0.2579,2.3273,0.2377018,0.0201982,0.016033384194872
1,AMMY220,1004.5,13.8566,110.75,2.04434373489511,0.2569,2.3214,0.2413665,0.0155335,0.015024434575435
1,AMMY220,1005,13.6914,99,1.99563519459755,0.254,2.3195,0.2425466,0.0114534,0.015891043154093
1,AMMY220,1005.5,13.3333,113.375,2.05451730006815,0.2668,2.3156,0.244969,0.021831,0.014849483710988
1,AMMY220,1006,13.585,105.125,2.02170600880597,0.2703,2.3254,0.2388819,0.0314181,0.015421158465516
1,AMMY220,1006.5,14.0177,105.688,2.02402567955307,0.2604,2.3469,0.225528,0.034872,0.015380029361365
1,AMMY220,1007,14.1829,106.438,2.02709670544038,0.2159,2.3957,0.1952174,0.0206826,0.015325746990898
3,AMMY220,1007.5,14.1711,95.812,1.98141990581559,0.1996,2.462,0.1540373,0.0455627,0.016153255089338
3,AMMY220,1008,13.043,115.312,2.06187450471537,0.1962,2.46,0.1552795,0.0409205,0.014724235399142
1,AMMY220,1008.5,11.5288,104.625,2.01963547100132,0.1962,2.4327,0.1722361,0.0239639,0.015457963192006
1,AMMY220,1009,11.2929,127.062,2.10401568699899,0.2204,2.3859,0.2013043,0.0190957,0.01402691485683
1,AMMY220,1009.5,11.1133,131.75,2.11975062388458,0.2402,2.3763,0.207267,0.032933,0.013775097846589
1,AMMY220,1010,12.0606,123.125,2.09034624350567,0.2545,2.3496,0.2238509,0.0306491,0.014249409997582
1,AMMY220,1010.5,11.4689,130,2.11394335230684,0.2629,2.3227,0.240559,0.022341,0.013867504905631
1,AMMY220,1011,11.7489,97.062,1.98704923587701,0.2446,2.3368,0.2318012,0.0127988,0.016048904264764
1,AMMY220,1011.5,12.2441,106.875,2.02887612773623,0.2412,2.3563,0.2196894,0.0215106,0.015294382258038
1,AMMY220,1012,13.7811,106.875,2.02887612773623,0.2377,2.3721,0.2098757,0.0278243,0.015294382258038
1,AMMY220,1012.5,14.2473,97.562,1.98928069467635,0.2451,2.3487,0.2244099,0.0206901,0.016007726553238
1,AMMY220,1013,13.8051,100.188,2.00081570710133,0.2698,2.3194,0.2426087,0.0271914,0.015796546519475
1,AMMY220,1013.5,12.9717,110.688,2.04410054033427,0.2807,2.3312,0.2352796,0.0454204,0.015028641827066
1,AMMY220,1014,12.7564,99.938,1.9997306539153,0.2802,2.3507,0.2231678,0.0570322,0.015816292111605
1,AMMY220,1014.5,13.4936,106.688,2.02811557381189,0.2471,2.4016,0.1915529,0.0555471,0.015307780190907
1,AMMY220,1015,13.8122,89.188,1.9503064251792,0.2145,2.433,0.1720496,0.0424504,0.016742364460452
3,AMMY220,1015.5,14.3229,85.688,1.9329200063026,0.2081,2.4662,0.1514285,0.0566715,0.017080870544242
1,AMMY220,1016,14.3947,87.688,1.94294016474161,0.2091,2.4584,0.1562733,0.0528267,0.016884955560949
1,AMMY220,1016.5,15.7156,81.062,1.90881731465671,0.2229,2.4467,0.1635403,0.0593597,0.017561489444934
1,AMMY220,1017,15.4283,98.188,1.9920584139353,0.2229,2.4096,0.1865838,0.0363162,0.015956616132597
1,AMMY220,1017.5,14.4388,114.688,2.05951797930999,0.2437,2.3756,0.2077018,0.0359982,0.014764237226923
